"","iso2c","country","year","status","Mortality_rate_neonatal","Maternal_mortality_ratio","Mortality_rate_infant","Mortality_rate_infant_male","Mortality_rate_infant_female","iso3c","region","capital","longitude","latitude","income","lending"
"1","1A","Arab World",2000,"",25.4336627100504,250,44.0925693563064,47.6127697302547,40.3747434814817,"ARB","Aggregates","","","","Aggregates","Aggregates"
"2","1A","Arab World",2001,"",24.9328157720505,243,42.8003629371652,46.2412790264928,39.1655243004637,"ARB","Aggregates","","","","Aggregates","Aggregates"
"3","1A","Arab World",2004,"",23.3748005100646,226,39.0326806406633,42.1721744127734,35.7325144995752,"ARB","Aggregates","","","","Aggregates","Aggregates"
"4","1A","Arab World",2005,"",22.8193076987631,214,37.8239522708644,40.865839639853,34.6124240142459,"ARB","Aggregates","","","","Aggregates","Aggregates"
"5","1A","Arab World",2002,"",24.4410301918675,235,41.5010865892061,44.8962159999006,37.9484070279389,"ARB","Aggregates","","","","Aggregates","Aggregates"
"6","1A","Arab World",2007,"",21.6590897351301,201,35.3982461614277,38.2479700638183,32.3536095899354,"ARB","Aggregates","","","","Aggregates","Aggregates"
"7","1A","Arab World",2008,"",21.0169713571571,188,34.1812501768818,36.9391520437243,31.2563781749745,"ARB","Aggregates","","","","Aggregates","Aggregates"
"8","1A","Arab World",2009,"",20.4227120566925,180,33.0330287582534,35.7556656390572,30.1477320790289,"ARB","Aggregates","","","","Aggregates","Aggregates"
"9","1A","Arab World",2006,"",22.2377066653583,211,36.6190738713772,39.5673574707407,33.5114490062565,"ARB","Aggregates","","","","Aggregates","Aggregates"
"10","1A","Arab World",2011,"",19.3204208433369,167,31.1429479012475,33.7270859110264,28.3942165907502,"ARB","Aggregates","","","","Aggregates","Aggregates"
"11","1A","Arab World",2012,"",18.8842764461376,163,30.6468061659965,33.2063224064439,27.9441863453544,"ARB","Aggregates","","","","Aggregates","Aggregates"
"12","1A","Arab World",2013,"",18.4540244654143,157,30.0054998595581,32.512195065824,27.3674442136245,"ARB","Aggregates","","","","Aggregates","Aggregates"
"13","1A","Arab World",2014,"",18.0030104841413,156,29.355393740631,31.8184333560514,26.773211556562,"ARB","Aggregates","","","","Aggregates","Aggregates"
"14","1A","Arab World",2015,"",17.6191448252816,153,28.6959646217843,31.1090467566959,26.1598505210606,"ARB","Aggregates","","","","Aggregates","Aggregates"
"15","1A","Arab World",2003,"",23.9299708042696,235,40.2745881590743,43.5229619248785,36.8583075616025,"ARB","Aggregates","","","","Aggregates","Aggregates"
"16","1A","Arab World",2018,"",16.8773600714391,NA,26.8254977770776,29.160558006558,24.3805731204255,"ARB","Aggregates","","","","Aggregates","Aggregates"
"17","1A","Arab World",2019,"",16.6576420070946,NA,26.3328063931554,28.5856660462122,23.9100859389755,"ARB","Aggregates","","","","Aggregates","Aggregates"
"18","1A","Arab World",2016,"",17.3324939194181,152,28.0837659354814,30.4672283059612,25.5512063135762,"ARB","Aggregates","","","","Aggregates","Aggregates"
"19","1A","Arab World",2017,"",17.1162630560928,149,27.2927215693322,29.6471372456291,24.7984841359546,"ARB","Aggregates","","","","Aggregates","Aggregates"
"20","1A","Arab World",2010,"",19.8108299662083,174,31.9869940483845,34.6682459901715,29.1923128709298,"ARB","Aggregates","","","","Aggregates","Aggregates"
"21","1A","Arab World",2020,"",16.4062752616072,NA,25.7799987530914,28.0405021087231,23.4007929033302,"ARB","Aggregates","","","","Aggregates","Aggregates"
"22","1W","World",2006,"",25.1,284,42.6,45,39.9,"WLD","Aggregates","","","","Aggregates","Aggregates"
"23","1W","World",2007,"",24.3,274,41,43.4,38.5,"WLD","Aggregates","","","","Aggregates","Aggregates"
